"Property Name",,"pt-BR","Node Path","Description"
"Value","After three unsuccessful login attempts, the application will now be closed. Please consider contacting an administrator about your login details.","Após três tentativas de login sem sucesso, a aplicação será fechada. Por favor, considere entrar em contato com o administrador do sistema para detalhes sobre do seu login.","Localization\Exceptions\UserVisibleExceptions\LogonAttemptsAmountedToLimitWin",
"Value","Input missing symbols","Faltam símbolos de entrada","Localization\Exceptions\UserVisibleExceptions\MaskValidationErrorMessage",
"Value",,,"Localization\Exceptions\UserVisibleExceptions\MessageWarningTitle",
"Value","The 'Object Type' field must not be empty and at least one access field must have a value that differs from None.","O campo 'Object Type' não deve ser vazio e pelo menos um campo de acesso deve ter um valor que difere de ""None"".","Localization\Exceptions\UserVisibleExceptions\ObjectAccessPermissionCannotBeEmpty",
"Value","The object you are trying to save was changed by another user. Please refresh data.","O objeto que você está tentando salvar foi alterado por outro usuário. Por favor, atualize os dados.","Localization\Exceptions\UserVisibleExceptions\ObjectToSaveWasChanged",
"Value","Data is displayed in read-only mode because it has been deleted.","Os dados foram exibidos em modo de somente leitura, pois este objeto foi excluído.","Localization\Exceptions\UserVisibleExceptions\RequestedObjectHasBeenDeleted",
"Value","Requested object is not found and cannot be processed.","O objeto solicitado não foi encontrado e não pode ser processado.","Localization\Exceptions\UserVisibleExceptions\RequestedObjectIsNotFound",
"Value","Warning: simultaneous modifications of the same information in different windows/views are detected:\n
{0}\n
It will be possible to save modifications in one window/view only.","Atenção: foram detectadas modificações simultânea da mesma informação em diferentes janelas/visões: \n{0}\n
Somente será possível salvar as modificações em uma única janela/visão.","Localization\Exceptions\UserVisibleExceptions\SimultaneousChangeDataMessage",
"Value"," - '{0}' window/view ({1}), '{2}' object ({3})"," - '{0}' janela/visão ({1}), '{2}' objeto ({3})","Localization\Exceptions\UserVisibleExceptions\SimultaneousChangeDataMessageItem",
"Value","An error with number {0} has occurred.\r\nError message: {1}","Ocorreu o erro de número {0}.\r\nMensagem: {1}","Localization\Exceptions\UserVisibleExceptions\SystemExceptionMessageFormat",
"Value","The following error occurred:","Ocorreu o seguinte erro:","Localization\Exceptions\UserVisibleExceptions\TheFollowingErrorOccurred",
"Value","The connection to the database failed. Please contact your system administrator.","A conexão com o banco de dados falhou. Por favor, entre em contato com o administrador do sistema.","Localization\Exceptions\UserVisibleExceptions\UserFriendlyConnectionFailedException",
"Value","An error has occurred connecting to the database. Please contact your system administrator.","Ocorreu um erro de conexão ao banco de dados. Por favor, entre em contato com o administrador do sistema.","Localization\Exceptions\UserVisibleExceptions\UserFriendlySqlException",
"Value","User: {0}","Usuário: {0}","Localization\Messages\User",
"Value","Error","Erro","Localization\Texts\Error",
"Value","N/A","N/I","Localization\Texts\NullValueText",
"Value","Warning","Aviso","Localization\Texts\Warning",
"Caption","About","Sobre","Views\AboutInfo_DetailView",
"Text","{0:ProductName}<br>{0:Version}<br>{0:Copyright}<br>{0:Description}","{0:ProductName}<br>{0:Version}<br><br>{0:Copyright}<br><br>{0:Description}","Views\AboutInfo_DetailView\Items\AboutText",
"Caption","About...","About...","ActionDesign\Actions\About Info",
"Caption","Choose Skin","Escolha um Skin","ActionDesign\Actions\ChooseSkin",
"Caption","Close","Fechar","ActionDesign\Actions\Close",
"Caption","Edit Model","Editar Modelo","ActionDesign\Actions\EditModel",
"Caption","Exit","Sair","ActionDesign\Actions\Exit",
"Caption","Copy Cell Value","Copiar Valor da Célula","ActionDesign\Actions\CopyCellValue",
"Caption","Clear","Limpar","ActionDesign\Actions\Clear",
"Caption","Open Record","Abrir Objeto","ActionDesign\Actions\OpenObject",
"ToolTip","Open the record associated with the focused editor","Abrir o objeto associado ao campo selecionado","ActionDesign\Actions\OpenObject",
"Caption","Show Toolbar","Show Toolbar","ActionDesign\Actions\ShowToolbar",
"Caption","Export Analysis to","Export Analysis to","ActionDesign\Actions\ExportAnalysis",
"Caption","Export to","Exportar para","ActionDesign\Actions\Export",
"Caption","Page Setup...","Configurar Página...","ActionDesign\Actions\PageSetup",
"ToolTip","Page Setup","Configurar Página","ActionDesign\Actions\PageSetup",
"Caption","Print...","Imprimir...","ActionDesign\Actions\Print",
"ToolTip","Print Dialog","Diálogo de Impressão","ActionDesign\Actions\Print",
"Caption","Print Preview...","Visualizar Impressão...","ActionDesign\Actions\PrintPreview",
"ToolTip","Print Preview","Visualizar Impressão","ActionDesign\Actions\PrintPreview",
"Value","Filter Builder","Construtor de Filtro","Localization\Captions\FilterBuilder",
"Value","Object Model","Objeto Modelo","Localization\Captions\ObjectModel",
"Value","Do you want to cancel your changes?","Deseja cancelar suas alterações?","Localization\Confirmations\Cancel",
"Value","Closing this window causes an error. Do you want to close the window anyway?\r\nWarning: if you click 'Yes', all changes will be lost.","Fechar esta janela causa um erro. Deseja continuar de qualquer maneira? \r\nAviso: se você clicar em 'Sim', todas as alterações serão perdidas.","Localization\Confirmations\ConfirmForcedCloseWindow",
"Value","Do you want to save changes?","Deseja salvar as alterações?","Localization\Confirmations\Save",
"Value","Find Text:","Localizar Texto:","Localization\Controls\LargeStringEditFindForm\FindLabelText",
"Value","Find","Localizar","Localization\Controls\LargeStringEditFindForm\FindMenuItemText",
"Value","Find Next","Localizar Próximo","Localization\Controls\LargeStringEditFindForm\FindNextButtonText",
"Value","Find","Localizar","Localization\Controls\LargeStringEditFindForm\FormText",
"Value","Auto Hide","Auto Ocultar","Localization\Enums\DevExpress.XtraBars.Docking.DockVisibility\AutoHide",
"Value","Hidden","Oculto","Localization\Enums\DevExpress.XtraBars.Docking.DockVisibility\Hidden",
"Value","Visible","Visível","Localization\Enums\DevExpress.XtraBars.Docking.DockVisibility\Visible",
"Value","Main Menu","Menu Principal","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\_mainMenuBar.Text",
"Value","Status Bar","Barra de Status","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\_statusBar.Text",
"Value","Edit","Editar","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemEdit.Caption",
"Value","File","Arquivos","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemFile.Caption",
"Value","Help","Ajuda","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemHelp.Caption",
"Value","Tools","Ferramentas","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemTools.Caption",
"Value","View","Exibir","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemView.Caption",
"Value","About","Sobre","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cAbout.Caption",
"Value","Close","Fechar","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cClose.Caption",
"Value","Diagnostic","Diagnóstico","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cDiagnostic.Caption",
"Value","Edit","Editar","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cEdit.Caption",
"Value","Export","Exportar","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cExport.Caption",
"Value","File","Arquivo","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cFile.Caption",
"Value","Filters","Filtros","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cFilters.Caption",
"Value","Full Text Search","Pesquisar Texto Completo","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cFullTextSearch.Caption",
"Value","Menu","Menu","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cMenu.Caption",
"Value","Records Creation","Criação de Objetos","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cObjectsCreation.Caption",
"Value","Open Record","Abrir Objeto","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cOpenObject.Caption",
"Value","Options","Opções","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cOptions.Caption",
"Value","Print","Imprimir","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cPrint.Caption",
"Value","Record Edit","Editar registro","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cRecordEdit.Caption",
"Value","Records Navigation","Navegar nos registros","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cRecordsNavigation.Caption",
"Value","Reports","Relatórios","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cReports.Caption",
"Value","View","Visualizar","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cReports.TargetPageGroupCaption",
"Value","Save","Salvar","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cSave.Caption",
"Value","Search","Procurar","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cSearch.Caption",
"Value","Tools","Ferramentas","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cTools.Caption",
"Value","UndoRedo","DesfazerRefazer","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cUndoRedo.Caption",
"Value","Edit","Editar","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cUndoRedo.TargetPageGroupCaption",
"Value","View","Visão","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cView.Caption",
"Value","Workflow","Workflow","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cWorkflow.Caption",
"Value","Main Toolbar","Barra de Ferramentas Principal","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\standardToolBar.Text",
"Value","Available records:","Registros disponíveis:","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.LookupControlTemplate\AvailableRecords.Text",
"Value","Find:","Buscar:","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.LookupControlTemplate\searchActionContainerLayoutItem.Text",
"Value","Type:","Tipo:","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.LookupControlTemplate\typeValueLayoutItem.Text",
"Value","Main Menu","Menu Principal","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\_mainMenuBar.Text",
"Value","Status Bar","Barra de Status","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\_statusBar.Text",
"Value","Window List","Lista de Janelas","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barMdiChildrenListItem.Caption",
"Value","Edit","Editar","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemEdit.Caption",
"Value","File","Arquivo","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemFile.Caption",
"Value","Help","Ajuda","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemHelp.Caption",
"Value","Panels","Painéis","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemPanels.Caption",
"Value","Tools","Ferramentas","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemTools.Caption",
"Value","View","Exibir","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemView.Caption",
"Value","Window","Janela","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemWindow.Caption",
"Value","About","Sobre","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cAbout.Caption",
"Value","Appearance","Aparência","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cAppearance.Caption",
"Value","Default","Valor Padrão","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cDefault.Caption",
"Value","Diagnostic","Diagnóstico","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cDiagnostic.Caption",
"Value","Edit","Editar","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cEdit.Caption",
"Value","Exit","Sair","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cExit.Caption",
"Value","Export","Exportar","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cExport.Caption",
"Value","File","Arquivo","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cFile.Caption",
"Value","Filters","Filtros","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cFilters.Caption",
"Value","Full Text Search","Pesquisar Texto Completo","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cFullTextSearch.Caption",
"Value","Menu","Menu","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cMenu.Caption",
"Value","Records Creation","Criação de Objetos","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cObjectsCreation.Caption",
"Value","Open Record","Abrir Objeto","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cOpenObject.Caption",
"Value","Options","Opções","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cOptions.Caption",
"Value","Panels","Painéis","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cPanels.Caption",
"Value","View","Visão","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cPanels.TargetPageCaption",
"Value","Print","Imprimir","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cPrint.Caption",
"Value","Record Edit","Editar Registro","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cRecordEdit.Caption",
"Value","Records Navigation","Navegar nos registros","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cRecordsNavigation.Caption",
"Value","Reports","Relatórios","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cReports.Caption",
"Value","View","Visualizar","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cReports.TargetPageGroupCaption",
"Value","Save","Salvar","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cSave.Caption",
"Value","Search","Procurar","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cSearch.Caption",
"Value","Tools","Ferramentas","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cTools.Caption",
"Value","UndoRedo","DesfazerRefazer","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cUndoRedo.Caption",
"Value","Edit","Editar","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cUndoRedo.TargetPageGroupCaption",
"Value","View","Visão","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cView.Caption",
"Value","Views History Navigation","Histórico de Visões","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cViewsHistoryNavigation.Caption",
"Value","Navigation","Navegação","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cViewsNavigation.Caption",
"Value","Windows","Janelas","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cWindows.Caption",
"Value","View","Visão","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cWindows.TargetPageCaption",
"Value","Workflow","Workflow","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cWorkflow.Caption",
"Value","Navigation","Navegação","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\dockPanelNavigation.Text",
"Value","Main Toolbar","Barra de Ferramentas Principal","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\standardToolBar.Text",
"Value","Window","Janela","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\Window.Caption",
"Value","View","Visão","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\Window.TargetPageCaption",
"Value","Windows","Janelas","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\Window.TargetPageGroupCaption",
"Value","Other","Outro","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cDefault.Caption",
"Value","Diagnostic","Diagnóstico","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cDiagnostic.Caption",
"Value","Edit","Editar","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cEdit.Caption",
"Value","Export","Exportar","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cExport.Caption",
"Value","Filters","Filtros","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cFilters.Caption",
"Value","Link","Link","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cLink.Caption",
"Value","Menu","Menu","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cMenu.Caption",
"Value","Records Creation","Criação de Objetos","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cObjectsCreation.Caption",
"Value","Open Record","Abrir Objeto","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cOpenObject.Caption",
"Value","Print","Imprimir","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cPrint.Caption",
"Value","Record Edit","Editar Registro","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cRecordEdit.Caption",
"Value","Records Navigation","Navegar nos registros","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cRecordsNavigation.Caption",
"Value","Reports","Relatórios","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cReports.Caption",
"Value","Save","Salvar","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cSave.Caption",
"Value","View","Visão","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cView.Caption",
"Value","Workflow","Workflow","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cWorkflow.Caption",
"Value","Toolbar","Barra de Ferramentas","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\standardToolBar.Text",
"Value","cEdit","cEdit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cEdit.Caption",
"Value","cExport","cExport","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cExport.Caption",
"Value","cObjectsCreation","cObjectsCreation","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cObjectsCreation.Caption",
"Value","cOpenObject","cOpenObject","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cOpenObject.Caption",
"Value","cPrint","cPrint","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cPrint.Caption",
"Value","cRecordEdit","cRecordEdit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cRecordEdit.Caption",
"Value","cUndoRedo","cUndoRedo","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cUndoRedo.Caption",
"Value","cView","cView","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cView.Caption",
"Value","emptySpaceItem2","emptySpaceItem2","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\emptySpaceItem2.CustomizationFormText",
"Value","emptySpaceItem2","emptySpaceItem2","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\emptySpaceItem2.Text",
"Value","layoutControlGroup1","layoutControlGroup1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\layoutControlGroup1.CustomizationFormText",
"Value","Root","Root","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\layoutControlGroup1.Text",
"Value","layoutControlItem1","layoutControlItem1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\layoutControlItem1.CustomizationFormText",
"Value","layoutControlItem1","layoutControlItem1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\layoutControlItem1.Text",
"Value","Root","Root","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\Root.CustomizationFormText",
"Value","Root","Root","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\Root.Text",
"Value","simpleSeparator1","simpleSeparator1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\simpleSeparator1.CustomizationFormText",
"Value","simpleSeparator1","simpleSeparator1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\simpleSeparator1.Text",
"Value","Unable to save customization information:\n{0}","Não é possível salvar as informações personalizadas:\n{0}","Localization\Messages\UnableToSaveCustomization",
"Value","Actions","Ações","Localization\Ribbon\ActionsPageGroup",
"Value","Home","Início","Localization\Ribbon\HomePage",
"Value","Aggregate operations","Operações de Agregação","Localization\Texts\Aggregates",
"Value","Avg(Field)\r\nEvaluates an average of all values in a collection.","Média(Campo)\r\nCalcula a média de todos os valores de uma coleção.","Localization\Texts\AggregatesAvgDescription",
"Value","Count\r\nReturns the number of objects in a collection.","Conta\r\nRetorna o número de objetos de uma coleção.","Localization\Texts\AggregatesCountDescription",
"Value","Max(Field)\r\nReturns the maximum expression value in a collection.","Max(Campo)\r\nRetorna o maior valor de uma coleção.","Localization\Texts\AggregatesMaxDescription",
"Value","Min(Field)\r\nReturns the minimum expression value in a collection.","Min(Campo)\r\nRetorna o menor valor de uma coleção.","Localization\Texts\AggregatesMinDescription",
"Value","Sum(Field)\r\nReturns a sum of all expression values in a collection.","Soma(Campo)\r\nRetorna a soma de todos os valores de uma coleção.","Localization\Texts\AggregatesSumDescription",
"Caption","Choose Theme","Escolha o Tema","ActionDesign\Actions\ChooseTheme",
"Caption","Edit","Editar","ActionDesign\Actions\Edit",
"Caption","Inline Edit","Edição direta","ActionDesign\Actions\InlineEdit",
"Caption","Edit","Editar","ActionDesign\Actions\SwitchToEditMode",
"Caption","Quick create","Criação rápida","ActionDesign\Actions\QuickCreateAction",
"Caption","Navigate To","Navegar para","ActionDesign\Actions\NavigateTo",
"Caption","Logon Attempts Amounted To Limit","Tentativas de Logon atingiram o limite","BOModel\DevExpress.ExpressApp.Web.LogonAttemptsAmountedToLimit",
"Caption","Parameterless Logon Failed Info","Informações de Falha do Logon sem parâmetros","BOModel\DevExpress.ExpressApp.Web.ParameterlessLogonFailedInfo",
"Caption","Message","Mensagem","BOModel\DevExpress.ExpressApp.Web.ParameterlessLogonFailedInfo\OwnMembers\Message",
"Value","Clear","Clear","Localization\ASPxImagePropertyEditor\Clear",
"Value","Edit","Edit","Localization\ASPxImagePropertyEditor\Edit",
"Value","<enter a value>","<digite um valor>","Localization\Controls\ASPxCriteriaEdit\EnterValueText",
"Value","All","Todos","Localization\Controls\DevExpress.ASPxGridView\PageSizeAllRecords",
"Value","Items per page:","Items por página:","Localization\Controls\DevExpress.ASPxGridView\PageSizeCaption",
"Value","Hide image","Esconder imagem","Localization\Controls\DropDownImageEdit\HideImage",
"Value","Image","Imagem","Localization\Controls\DropDownImageEdit\PopupHeader",
"Value","Show image","Mostrar imagem","Localization\Controls\DropDownImageEdit\ShowImage",
"Value","There are no records to display.","Não há registros a mostrar","Localization\Messages\ThereAreNoRecordsToDisplay",
"Caption","Log On","Fazer Log On","Views\LogonAttemptsAmountedToLimit_DetailView",
"Text","After three unsuccessful login attempts, the browser should be closed. Please consider contacting an administrator about your login details.","Depois de três tentativas de login sem sucesso, o navegador deve ser fechado. Por favor, considere entrar em contato com o administrador do sistema sobre seus dados de login.","Views\LogonAttemptsAmountedToLimit_DetailView\Items\LogonText",
"Caption","Log On","Fazer Log On","Views\ParameterlessLogonFailedInfo_DefaultDetailView",
"Text","{0} Please consider contacting an administrator about your login details.","{0} Por favor, considere entrar em contato com o administrador do sistema sobre seus dados de login.","Views\ParameterlessLogonFailedInfo_DefaultDetailView\Items\Message",
"Value","Blob data","Dados Blob","Localization\AuditTrail\BlobDataString",
"Value","N/A","N/I","Localization\AuditTrail\NullValueString",
"Caption","Validate","Validar","ActionDesign\Actions\ShowAllContexts",
"ToolTip","Validate selected object(s) in all presented contexts","Validar o(s) objeto(s) selecionado(s) em todos os contextos apresentados","ActionDesign\Actions\ShowAllContexts",
"Caption","Context Validation Result","Resultado da Validação","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ContextValidationResult",
"Caption","Context","Contexto","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ContextValidationResult\OwnMembers\Context",
"Caption","State","Estado","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ContextValidationResult\OwnMembers\State",
"Caption","Broken Rules","Regras Violadas","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ContextValidationResult\OwnMembers\BrokenRules",
"Caption","Displayable Validation Result Items","Itens Exibíveis do Resultado da Validação","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ContextValidationResult\OwnMembers\DisplayableValidationResultItems",
"Caption","Validation Details","Detalhes da Validação","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem",
"Caption","Rule Name","Nome da Regra","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\RuleName",
"Caption","Context Caption","Título do Contexto","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\ContextCaption",
"Caption","Context Id","Id do Contexto","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\ContextId",
"Caption","Rule","Regra","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\Rule",
"Caption","State","Estado","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\State",
"Caption","Error Message","Mensagem de Erro","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\ErrorMessage",
"Caption","Target","Destino","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\TargetCaption",
"Caption","Rule Properties","Propriedades da Regra","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\RuleProperties",
"Caption","Validation Results","Resultados da Validação","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ValidationResults",
"Caption","Results","Resultados","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ValidationResults\OwnMembers\Results",
"Caption","Highlight Errors","Realçar Erros","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ValidationResults\OwnMembers\HighlightErrors",
"Caption","Displayable Validation Result Items","Itens Exibíveis do Resultado da Validação","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ValidationResults\OwnMembers\DisplayableValidationResultItems",
"Caption","IRule Base Properties","Propriedades da IRule Base","BOModel\DevExpress.Persistent.Validation.IRuleBaseProperties",
"Caption","Id","Id","BOModel\DevExpress.Persistent.Validation.IRuleBaseProperties\OwnMembers\Id",
"Caption","Name","Nome","BOModel\DevExpress.Persistent.Validation.IRuleBaseProperties\OwnMembers\Name",
"Caption","Custom Message Template","Modelo de Mensagem Personalizado","BOModel\DevExpress.Persistent.Validation.IRuleBaseProperties\OwnMembers\CustomMessageTemplate",
