"Property Name",,"pl-PL","Node Path","Description"
"Value","The update has been successfully completed. However, the database version is still greater than the application version. Please contact your system administrator.","Aktualizacja została pomyślnie zakończona. Jednakże, wersja bazy danych jest nadal wyższa niż wersji aplikacji. Proszę skontaktować się z administratorem systemu.","Localization\Exceptions\UserVisibleExceptions\ApplicationUpdateError",
"Value","This operation cannot be completed, because it leads to a circular reference.","Ta operacja nie może być zakończona, ponieważ prowadzi ona do odwołania cyklicznego.","Localization\Exceptions\UserVisibleExceptions\CircularReference",
"Value","Please specify the object type for which you want to construct a criterion.","Proszę podać typ obiektu, dla którego chcesz skonstruować kryterium.","Localization\Exceptions\UserVisibleExceptions\CriteriaEditorsDataTypeIsNull",
"Value","The length of this field value cannot exceed {0}","Długość wartości pola nie może przekroczyć {0}","Localization\Exceptions\UserVisibleExceptions\FieldValueSizeExceedsMaxLength",
"Value","After three unsuccessful login attempts, the application will now be closed. Please consider contacting an administrator about your login details.","Po trzech nieudanych próbach logowania, aplikacja zostanie zamknięta. Proszę rozważyć skontaktowanie się z administratorem o dane logowania.","Localization\Exceptions\UserVisibleExceptions\LogonAttemptsAmountedToLimitWin",
"Value","Input missing symbols","Input missing symbols","Localization\Exceptions\UserVisibleExceptions\MaskValidationErrorMessage",
"Value",,"Ostrzeżenie","Localization\Exceptions\UserVisibleExceptions\MessageWarningTitle",
"Value","The 'Object Type' field must not be empty and at least one access field must have a value that differs from None.","The 'Object Type' field must not be empty and at least one access field must have a value that differs from None.","Localization\Exceptions\UserVisibleExceptions\ObjectAccessPermissionCannotBeEmpty",
"Value","The object you are trying to save was changed by another user. Please refresh data.","Obiekt, który próbujesz zapisać został zmieniony przez innego użytkownika. Proszę Odśwież dane.","Localization\Exceptions\UserVisibleExceptions\ObjectToSaveWasChanged",
"Value","Data is displayed in read-only mode because it has been deleted.","Dane są wyświetlane tylko w trybie do odczytu, ponieważ zostały skasowane.","Localization\Exceptions\UserVisibleExceptions\RequestedObjectHasBeenDeleted",
"Value","Requested object is not found and cannot be processed.","Żądany obiekt nie został znaleziony i nie może być przetworzony.","Localization\Exceptions\UserVisibleExceptions\RequestedObjectIsNotFound",
"Value","Warning: simultaneous modifications of the same information in different windows/views are detected:\n
{0}\n
It will be possible to save modifications in one window/view only.","Uwaga: jednoczesne modyfikacje tych samych informacji w różnych oknach/widokach zostały wykryte:\n","Localization\Exceptions\UserVisibleExceptions\SimultaneousChangeDataMessage",
"Value"," - '{0}' window/view ({1}), '{2}' object ({3})"," - '{0}' okno/widok ({1}), '{2}' obiekt ({3})","Localization\Exceptions\UserVisibleExceptions\SimultaneousChangeDataMessageItem",
"Value","An error with number {0} has occurred.\r\nError message: {1}","Wystąpił błąd numer {0}.\r\nTreść: {1}","Localization\Exceptions\UserVisibleExceptions\SystemExceptionMessageFormat",
"Value","The following error occurred:","Wystąpił następujący błąd:","Localization\Exceptions\UserVisibleExceptions\TheFollowingErrorOccurred",
"Value","The connection to the database failed. Please contact your system administrator.","Połączenie z bazą danych nie powiodło się. Proszę skontaktować się z administratorem systemu.","Localization\Exceptions\UserVisibleExceptions\UserFriendlyConnectionFailedException",
"Value","An error has occurred connecting to the database. Please contact your system administrator.","Wystąpił błąd połączenia z bazą danych. Proszę skontaktować się z administratorem systemu.","Localization\Exceptions\UserVisibleExceptions\UserFriendlySqlException",
"Value","User: {0}","Użytkownik: {0}","Localization\Messages\User",
"Value","Error","Błąd","Localization\Texts\Error",
"Value","N/A","N/A","Localization\Texts\NullValueText",
"Value","Warning","Ostrzeżenie","Localization\Texts\Warning",
"Caption","About","O programie…","Views\AboutInfo_DetailView",
"Text","{0:ProductName}<br>{0:Version}<br>{0:Copyright}<br>{0:Description}","{0:ProductName}<br>{0:Version}<br><br>{0:Copyright}<br><br>{0:Description}","Views\AboutInfo_DetailView\Items\AboutText",
"Caption","About...","About...","ActionDesign\Actions\About Info",
"Caption","Choose Skin","Wybierz skórkę","ActionDesign\Actions\ChooseSkin",
"Caption","Close","Zamknij","ActionDesign\Actions\Close",
"Caption","Edit Model","Edytuj model","ActionDesign\Actions\EditModel",
"Caption","Exit","Wyjście","ActionDesign\Actions\Exit",
"Caption","Copy Cell Value","Kopiuj wartość komórki","ActionDesign\Actions\CopyCellValue",
"Caption","Clear","Wyczyść","ActionDesign\Actions\Clear",
"Caption","Open Record","Otwórz obiekt","ActionDesign\Actions\OpenObject",
"ToolTip","Open the record associated with the focused editor","Otwiera obiekt powiązany z podświetlonym edytorem","ActionDesign\Actions\OpenObject",
"Caption","Show Toolbar","Show Toolbar","ActionDesign\Actions\ShowToolbar",
"Caption","Export Analysis to","Eksportuj analizę","ActionDesign\Actions\ExportAnalysis",
"Caption","Export to","Eksport do","ActionDesign\Actions\Export",
"Caption","Page Setup...","Ustawienia strony ...","ActionDesign\Actions\PageSetup",
"ToolTip","Page Setup","Ustawienia strony","ActionDesign\Actions\PageSetup",
"Caption","Print...","Drukuj…","ActionDesign\Actions\Print",
"ToolTip","Print Dialog","Okno drukowania","ActionDesign\Actions\Print",
"Caption","Print Preview...","Podgląd wydruku ...","ActionDesign\Actions\PrintPreview",
"ToolTip","Print Preview","Podgląd wydruku","ActionDesign\Actions\PrintPreview",
"Value","Filter Builder","Konstruktor filtra","Localization\Captions\FilterBuilder",
"Value","Object Model","Object Model","Localization\Captions\ObjectModel",
"Value","Do you want to cancel your changes?","Czy chcesz anulować zmiany?","Localization\Confirmations\Cancel",
"Value","Closing this window causes an error. Do you want to close the window anyway?\r\nWarning: if you click 'Yes', all changes will be lost.","Zamykanie okna powoduje błąd. Czy mimo to zamknąć okno?\r\nOstrzeżenie: Jeśli wybierzesz 'Tak', wszystkie zmiany zostaną utracone.","Localization\Confirmations\ConfirmForcedCloseWindow",
"Value","Do you want to save changes?","Czy chcesz zapisać zmiany?","Localization\Confirmations\Save",
"Value","Find Text:","Znajdź tekst:","Localization\Controls\LargeStringEditFindForm\FindLabelText",
"Value","Find","Znajdź","Localization\Controls\LargeStringEditFindForm\FindMenuItemText",
"Value","Find Next","Znajdź następny","Localization\Controls\LargeStringEditFindForm\FindNextButtonText",
"Value","Find","Znajdź","Localization\Controls\LargeStringEditFindForm\FormText",
"Value","Auto Hide","Autoukrywanie","Localization\Enums\DevExpress.XtraBars.Docking.DockVisibility\AutoHide",
"Value","Hidden","Ukryty","Localization\Enums\DevExpress.XtraBars.Docking.DockVisibility\Hidden",
"Value","Visible","Widoczny","Localization\Enums\DevExpress.XtraBars.Docking.DockVisibility\Visible",
"Value","Main Menu","Menu główne","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\_mainMenuBar.Text",
"Value","Status Bar","Pasek stanu","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\_statusBar.Text",
"Value","Edit","Edytuj","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemEdit.Caption",
"Value","File","Plik","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemFile.Caption",
"Value","Help","Pomoc","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemHelp.Caption",
"Value","Tools","Narzędzia","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemTools.Caption",
"Value","View","Widok","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\barSubItemView.Caption",
"Value","About","O programie…","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cAbout.Caption",
"Value","Close","Zamknij","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cClose.Caption",
"Value","Diagnostic","Diagnostyka","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cDiagnostic.Caption",
"Value","Edit","Edytuj","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cEdit.Caption",
"Value","Export","Eksport","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cExport.Caption",
"Value","File","Plik","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cFile.Caption",
"Value","Filters","Filtry","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cFilters.Caption",
"Value","Full Text Search","Wyszukiwanie globalne","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cFullTextSearch.Caption",
"Value","Menu","Menu","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cMenu.Caption",
"Value","Records Creation","Tworzenie obiektów","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cObjectsCreation.Caption",
"Value","Open Record","Otwórz obiekt","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cOpenObject.Caption",
"Value","Options","Opcje","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cOptions.Caption",
"Value","Print","Wydrukuj","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cPrint.Caption",
"Value","Record Edit","Edycja rekordu","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cRecordEdit.Caption",
"Value","Records Navigation","Nawigacja rekordów","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cRecordsNavigation.Caption",
"Value","Reports","Raporty","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cReports.Caption",
"Value","View","Widok","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cReports.TargetPageGroupCaption",
"Value","Save","Zapisz","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cSave.Caption",
"Value","Search","Szukaj","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cSearch.Caption",
"Value","Tools","Narzędzia","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cTools.Caption",
"Value","UndoRedo","Cofnij/Przywróć","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cUndoRedo.Caption",
"Value","Edit","Edytuj","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cUndoRedo.TargetPageGroupCaption",
"Value","View","Widok","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cView.Caption",
"Value","Workflow","Workflow","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\cWorkflow.Caption",
"Value","Main Toolbar","Główny pasek narzędzi","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.DetailViewForm\standardToolBar.Text",
"Value","Available records:","Dostępne rekordy:","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.LookupControlTemplate\AvailableRecords.Text",
"Value","Find:","Znajdź:","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.LookupControlTemplate\searchActionContainerLayoutItem.Text",
"Value","Type:","Typ:","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.LookupControlTemplate\typeValueLayoutItem.Text",
"Value","Main Menu","Menu główne","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\_mainMenuBar.Text",
"Value","Status Bar","Pasek stanu","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\_statusBar.Text",
"Value","Window List","Lista okien","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barMdiChildrenListItem.Caption",
"Value","Edit","Edytuj","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemEdit.Caption",
"Value","File","Plik","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemFile.Caption",
"Value","Help","Pomoc","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemHelp.Caption",
"Value","Panels","Panele","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemPanels.Caption",
"Value","Tools","Narzędzia","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemTools.Caption",
"Value","View","Widok","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemView.Caption",
"Value","Window","Okno","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\barSubItemWindow.Caption",
"Value","About","O programie…","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cAbout.Caption",
"Value","Appearance","Wygląd","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cAppearance.Caption",
"Value","Default","Domyślne","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cDefault.Caption",
"Value","Diagnostic","Diagnostyka","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cDiagnostic.Caption",
"Value","Edit","Edytuj","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cEdit.Caption",
"Value","Exit","Wyjście","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cExit.Caption",
"Value","Export","Eksport","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cExport.Caption",
"Value","File","Plik","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cFile.Caption",
"Value","Filters","Filtry","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cFilters.Caption",
"Value","Full Text Search","Wyszukiwanie globalne","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cFullTextSearch.Caption",
"Value","Menu","Menu","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cMenu.Caption",
"Value","Records Creation","Tworzenie obiektów","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cObjectsCreation.Caption",
"Value","Open Record","Otwórz obiekt","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cOpenObject.Caption",
"Value","Options","Opcje","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cOptions.Caption",
"Value","Panels","Panele","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cPanels.Caption",
"Value","View","Widok","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cPanels.TargetPageCaption",
"Value","Print","Wydrukuj","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cPrint.Caption",
"Value","Record Edit","Edycja rekordu","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cRecordEdit.Caption",
"Value","Records Navigation","Nawigacja rekordów","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cRecordsNavigation.Caption",
"Value","Reports","Raporty","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cReports.Caption",
"Value","View","Widok","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cReports.TargetPageGroupCaption",
"Value","Save","Zapisz","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cSave.Caption",
"Value","Search","Szukaj","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cSearch.Caption",
"Value","Tools","Narzędzia","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cTools.Caption",
"Value","UndoRedo","Cofnij/Przywróć","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cUndoRedo.Caption",
"Value","Edit","Edytuj","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cUndoRedo.TargetPageGroupCaption",
"Value","View","Widok","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cView.Caption",
"Value","Views History Navigation","Przeglądaj historię nawigacji","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cViewsHistoryNavigation.Caption",
"Value","Navigation","Nawigacja","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cViewsNavigation.Caption",
"Value","Windows","Okna","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cWindows.Caption",
"Value","View","Widok","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cWindows.TargetPageCaption",
"Value","Workflow","Workflow","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\cWorkflow.Caption",
"Value","Navigation","Nawigacja","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\dockPanelNavigation.Text",
"Value","Main Toolbar","Główny pasek narzędzi","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\standardToolBar.Text",
"Value","Window","Okno","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\Window.Caption",
"Value","View","Widok","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\Window.TargetPageCaption",
"Value","Windows","Okna","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.MainForm\Window.TargetPageGroupCaption",
"Value","Other","Inne","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cDefault.Caption",
"Value","Diagnostic","Diagnostyka","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cDiagnostic.Caption",
"Value","Edit","Edytuj","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cEdit.Caption",
"Value","Export","Eksport","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cExport.Caption",
"Value","Filters","Filtry","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cFilters.Caption",
"Value","Link","Połącz","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cLink.Caption",
"Value","Menu","Menu","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cMenu.Caption",
"Value","Records Creation","Tworzenie obiektów","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cObjectsCreation.Caption",
"Value","Open Record","Otwórz obiekt","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cOpenObject.Caption",
"Value","Print","Wydrukuj","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cPrint.Caption",
"Value","Record Edit","Edycja rekordu","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cRecordEdit.Caption",
"Value","Records Navigation","Nawigacja rekordów","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cRecordsNavigation.Caption",
"Value","Reports","Raporty","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cReports.Caption",
"Value","Save","Zapisz","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cSave.Caption",
"Value","View","Widok","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cView.Caption",
"Value","Workflow","Workflow","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\cWorkflow.Caption",
"Value","Toolbar","Pasek narzędzi","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.NestedFrameTemplate\standardToolBar.Text",
"Value","cEdit","cEdit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cEdit.Caption",
"Value","cExport","cExport","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cExport.Caption",
"Value","cObjectsCreation","cObjectsCreation","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cObjectsCreation.Caption",
"Value","cOpenObject","cOpenObject","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cOpenObject.Caption",
"Value","cPrint","cPrint","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cPrint.Caption",
"Value","cRecordEdit","cRecordEdit","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cRecordEdit.Caption",
"Value","cUndoRedo","cUndoRedo","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cUndoRedo.Caption",
"Value","cView","cView","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\cView.Caption",
"Value","emptySpaceItem2","emptySpaceItem2","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\emptySpaceItem2.CustomizationFormText",
"Value","emptySpaceItem2","emptySpaceItem2","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\emptySpaceItem2.Text",
"Value","layoutControlGroup1","layoutControlGroup1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\layoutControlGroup1.CustomizationFormText",
"Value","Root","Root","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\layoutControlGroup1.Text",
"Value","layoutControlItem1","layoutControlItem1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\layoutControlItem1.CustomizationFormText",
"Value","layoutControlItem1","layoutControlItem1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\layoutControlItem1.Text",
"Value","Root","Root","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\Root.CustomizationFormText",
"Value","Root","Root","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\Root.Text",
"Value","simpleSeparator1","simpleSeparator1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\simpleSeparator1.CustomizationFormText",
"Value","simpleSeparator1","simpleSeparator1","Localization\FrameTemplates\DevExpress.ExpressApp.Win.Templates.PopupForm\simpleSeparator1.Text",
"Value","Unable to save customization information:\n{0}","Nie można zapisać spersonalizowanych ustawień:\n{0}","Localization\Messages\UnableToSaveCustomization",
"Value","Actions","Akcje","Localization\Ribbon\ActionsPageGroup",
"Value","Home","Ogólne","Localization\Ribbon\HomePage",
"Value","Aggregate operations","Zagregowane operacje","Localization\Texts\Aggregates",
"Value","Avg(Field)\r\nEvaluates an average of all values in a collection.","Avg(Field)\r\nOblicza średnią wartości kolekcji.","Localization\Texts\AggregatesAvgDescription",
"Value","Count\r\nReturns the number of objects in a collection.","Count\r\nZwraca ilość obiektów w kolekcji.","Localization\Texts\AggregatesCountDescription",
"Value","Max(Field)\r\nReturns the maximum expression value in a collection.","Max(Field)\r\nZwraca maksymalną wartość z kolekcji.","Localization\Texts\AggregatesMaxDescription",
"Value","Min(Field)\r\nReturns the minimum expression value in a collection.","Min(Field)\r\nZwraca minimalną wartość kolekcji.","Localization\Texts\AggregatesMinDescription",
"Value","Sum(Field)\r\nReturns a sum of all expression values in a collection.","Sum(Field)\r\nZwraca sumę wartości kolekcji.","Localization\Texts\AggregatesSumDescription",
"Caption","Choose Theme","Wybierz skórkę","ActionDesign\Actions\ChooseTheme",
"Caption","Edit","Edytuj","ActionDesign\Actions\Edit",
"Caption","Inline Edit","Edytuj inline","ActionDesign\Actions\InlineEdit",
"Caption","Edit","Edytuj","ActionDesign\Actions\SwitchToEditMode",
"Caption","Quick create","Szybkie tworzenie","ActionDesign\Actions\QuickCreateAction",
"Caption","Navigate To","Przejdź do","ActionDesign\Actions\NavigateTo",
"Caption","Logon Attempts Amounted To Limit","Limit prób logowania","BOModel\DevExpress.ExpressApp.Web.LogonAttemptsAmountedToLimit",
"Caption","Parameterless Logon Failed Info","Parameterless Logon Failed Info","BOModel\DevExpress.ExpressApp.Web.ParameterlessLogonFailedInfo",
"Caption","Message","Wiadomość","BOModel\DevExpress.ExpressApp.Web.ParameterlessLogonFailedInfo\OwnMembers\Message",
"Value","Clear","Clear","Localization\ASPxImagePropertyEditor\Clear",
"Value","Edit","Edit","Localization\ASPxImagePropertyEditor\Edit",
"Value","<enter a value>","<wprowadź wartość>","Localization\Controls\ASPxCriteriaEdit\EnterValueText",
"Value","All","Wszystko","Localization\Controls\DevExpress.ASPxGridView\PageSizeAllRecords",
"Value","Items per page:","Elementy na stronie:","Localization\Controls\DevExpress.ASPxGridView\PageSizeCaption",
"Value","Hide image","Ukryj obraz","Localization\Controls\DropDownImageEdit\HideImage",
"Value","Image","Obraz","Localization\Controls\DropDownImageEdit\PopupHeader",
"Value","Show image","Pokaż obraz","Localization\Controls\DropDownImageEdit\ShowImage",
"Value","There are no records to display.","Brak rekordów do wyświetlenia.","Localization\Messages\ThereAreNoRecordsToDisplay",
"Caption","Log On","Zaloguj się","Views\LogonAttemptsAmountedToLimit_DetailView",
"Text","After three unsuccessful login attempts, the browser should be closed. Please consider contacting an administrator about your login details.","Po trzech nieudanych próbach logowania, przeglądarka powinna zostać zamknięta. Proszę rozważyć skontaktowanie się z administratorem o dane logowania.","Views\LogonAttemptsAmountedToLimit_DetailView\Items\LogonText",
"Caption","Log On","Zaloguj się","Views\ParameterlessLogonFailedInfo_DefaultDetailView",
"Text","{0} Please consider contacting an administrator about your login details.","{0} Proszę rozważyć skontaktowanie się z administratorem o dane logowania.","Views\ParameterlessLogonFailedInfo_DefaultDetailView\Items\Message",
"Value","Blob data","Blob data","Localization\AuditTrail\BlobDataString",
"Value","N/A","N/A","Localization\AuditTrail\NullValueString",
"Caption","Validate","Walidacja","ActionDesign\Actions\ShowAllContexts",
"ToolTip","Validate selected object(s) in all presented contexts","Walidacja wybranego obiektu(ów) we wszystkich kontekstach","ActionDesign\Actions\ShowAllContexts",
"Caption","Context Validation Result","Context Validation Result","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ContextValidationResult",
"Caption","Context","Kontekst","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ContextValidationResult\OwnMembers\Context",
"Caption","State","Stan","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ContextValidationResult\OwnMembers\State",
"Caption","Broken Rules","Złamane zasady","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ContextValidationResult\OwnMembers\BrokenRules",
"Caption","Displayable Validation Result Items","Displayable Validation Result Items","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ContextValidationResult\OwnMembers\DisplayableValidationResultItems",
"Caption","Validation Details","Szczegóły walidacji","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem",
"Caption","Rule Name","Nazwa zasady","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\RuleName",
"Caption","Context Caption","Tytuł kontekstu","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\ContextCaption",
"Caption","Context Id","Identyfikator kontekstu","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\ContextId",
"Caption","Rule","Zasada","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\Rule",
"Caption","State","Stan","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\State",
"Caption","Error Message","Komunikat o błędzie","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\ErrorMessage",
"Caption","Target","Cel","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\TargetCaption",
"Caption","Rule Properties","Rule Properties","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.DisplayableValidationResultItem\OwnMembers\RuleProperties",
"Caption","Validation Results","Wyniki walidacji","BOModel\DevExpress.ExpressApp.Validation.AllContextsView.ValidationResults",
